#Mapping quality	mapping quality
0.0	151667.0
1.0	158524.0
2.0	36509.0
3.0	24161.0
4.0	18531.0
5.0	17708.0
6.0	18067.0
7.0	20112.0
8.0	24630.0
9.0	33586.0
10.0	65740.0
11.0	43614.0
12.0	24188.0
13.0	19695.0
14.0	18672.0
15.0	21073.0
16.0	24065.0
17.0	20592.0
18.0	20503.0
19.0	21451.0
20.0	19035.0
21.0	17519.0
22.0	18455.0
23.0	16650.0
24.0	17525.0
25.0	16208.0
26.0	15122.0
27.0	14963.0
28.0	15679.0
29.0	15011.0
30.0	16961.0
31.0	18383.0
32.0	18732.0
33.0	20777.0
34.0	23193.0
35.0	24504.0
36.0	30119.0
37.0	34555.0
38.0	45955.0
39.0	64173.0
40.0	85113.0
41.0	154878.0
42.0	1937743.0
43.0	8721405.0
44.0	1350.0
