#Duplication rate	Coverage
1.0	545166.0
2.0	232382.0
3.0	35567.0
4.0	27511.0
5.0	5860.0
6.0	4689.0
7.0	1565.0
8.0	1213.0
9.0	634.0
10.0	494.0
11.0	249.0
12.0	252.0
13.0	183.0
14.0	154.0
15.0	104.0
16.0	107.0
17.0	93.0
18.0	85.0
19.0	59.0
20.0	35.0
21.0	41.0
22.0	40.0
23.0	27.0
24.0	32.0
25.0	27.0
26.0	24.0
27.0	23.0
28.0	18.0
29.0	14.0
30.0	7.0
31.0	12.0
32.0	14.0
33.0	4.0
34.0	8.0
35.0	5.0
36.0	9.0
37.0	10.0
38.0	7.0
39.0	5.0
40.0	4.0
41.0	6.0
42.0	7.0
43.0	4.0
44.0	6.0
45.0	4.0
46.0	3.0
47.0	2.0
48.0	0.0
49.0	1.0
50.0	28.0
